Record Length,2500,Points,857.999955770E-6,39.99999911E-3,,Record Length,2500,Points,857.999955770E-6,4.36000013,
Sample Interval,200.00000234E-9,s,858.199957293E-6,39.99999911E-3,,Sample Interval,200.00000234E-9,s,858.199957293E-6,4.36000013,
Trigger Point,-4.28999993E3,Samples,858.399958815E-6,39.99999911E-3,,Trigger Point,-4.28999993E3,Samples,858.399958815E-6,4.36000013,
,,,858.599960338E-6,39.99999911E-3,,,,,858.599960338E-6,4.36000013,
,,,858.799961861E-6,39.99999911E-3,,,,,858.799961861E-6,4.36000013,
,,,858.999963384E-6,39.99999911E-3,,,,,858.999963384E-6,4.36000013,
Source,CH1,,859.199964907E-6,39.99999911E-3,,Source,CH2,,859.199964907E-6,4.36000013,
Vertical Units,Volts,,859.399966430E-6,0.0,,Vertical Units,Volts,,859.399966430E-6,4.36000013,
Vertical Scale,999.999977648E-3,,859.599967953E-6,39.99999911E-3,,Vertical Scale,999.999977648E-3,,859.599967953E-6,4.36000013,
Vertical Offset,0,,859.799969476E-6,39.99999911E-3,,Vertical Offset,0,,859.799969476E-6,4.36000013,
Horizontal Units,s,,859.999970999E-6,39.99999911E-3,,Horizontal Units,s,,859.999970999E-6,4.36000013,
Horizontal Scale,50.00000058E-6,,860.199972522E-6,39.99999911E-3,,Horizontal Scale,50.00000058E-6,,860.199972522E-6,4.36000013,
Pt Fmt,Y,,860.399974044E-6,39.99999911E-3,,Pt Fmt,Y,,860.399974044E-6,4.36000013,
Yzero,-120.0000000E-3,,860.599975567E-6,39.99999911E-3,,Yzero,-1.2400000,,860.599975567E-6,4.40000010,
Probe Atten,1.000000,,860.799977090E-6,39.99999911E-3,,Probe Atten,1.000000,,860.799977090E-6,4.40000010,
,,,860.999978613E-6,39.99999911E-3,,,,,860.999978613E-6,4.36000013,
Note,TDS 1001B - 17:42:16   8/4/2026,,861.199980136E-6,39.99999911E-3,,Note,TDS 1001B - 17:42:16   8/4/2026,,861.199980136E-6,4.36000013,
,,,861.399981659E-6,39.99999911E-3,,,,,861.399981659E-6,4.40000010,
,,,861.599983182E-6,39.99999911E-3,,,,,861.599983182E-6,4.40000010,
,,,861.799984705E-6,39.99999911E-3,,,,,861.799984705E-6,4.36000013,
,,,861.999928020E-6,39.99999911E-3,,,,,861.999928020E-6,4.40000010,
,,,862.199929543E-6,39.99999911E-3,,,,,862.199929543E-6,4.40000010,
,,,862.399931066E-6,39.99999911E-3,,,,,862.399931066E-6,4.36000013,
,,,862.599932589E-6,39.99999911E-3,,,,,862.599932589E-6,4.40000010,
,,,862.799934112E-6,39.99999911E-3,,,,,862.799934112E-6,4.40000010,
,,,862.999935634E-6,39.99999911E-3,,,,,862.999935634E-6,4.40000010,
,,,863.199937157E-6,39.99999911E-3,,,,,863.199937157E-6,4.36000013,
,,,863.399938680E-6,0.0,,,,,863.399938680E-6,4.40000010,
,,,863.599940203E-6,0.0,,,,,863.599940203E-6,4.40000010,
,,,863.799941726E-6,0.0,,,,,863.799941726E-6,4.40000010,
,,,863.999943249E-6,0.0,,,,,863.999943249E-6,4.40000010,
,,,864.199944772E-6,39.99999911E-3,,,,,864.199944772E-6,4.40000010,
,,,864.399946295E-6,39.99999911E-3,,,,,864.399946295E-6,4.40000010,
,,,864.599947818E-6,39.99999911E-3,,,,,864.599947818E-6,4.40000010,
,,,864.799949341E-6,39.99999911E-3,,,,,864.799949341E-6,4.40000010,
,,,864.999950863E-6,0.0,,,,,864.999950863E-6,4.40000010,
,,,865.199952386E-6,0.0,,,,,865.199952386E-6,4.40000010,
,,,865.399953909E-6,0.0,,,,,865.399953909E-6,4.40000010,
,,,865.599955432E-6,0.0,,,,,865.599955432E-6,4.40000010,
,,,865.799956955E-6,0.0,,,,,865.799956955E-6,4.40000010,
,,,865.999958478E-6,0.0,,,,,865.999958478E-6,4.40000010,
,,,866.199960001E-6,39.99999911E-3,,,,,866.199960001E-6,4.40000010,
,,,866.399961524E-6,0.0,,,,,866.399961524E-6,4.40000010,
,,,866.599963047E-6,0.0,,,,,866.599963047E-6,4.40000010,
,,,866.799964570E-6,39.99999911E-3,,,,,866.799964570E-6,4.40000010,
,,,866.999966092E-6,0.0,,,,,866.999966092E-6,4.36000013,
,,,867.199967615E-6,39.99999911E-3,,,,,867.199967615E-6,4.40000010,
,,,867.399969138E-6,0.0,,,,,867.399969138E-6,4.40000010,
,,,867.599970661E-6,0.0,,,,,867.599970661E-6,4.40000010,
,,,867.799972184E-6,0.0,,,,,867.799972184E-6,4.40000010,
,,,867.999973707E-6,39.99999911E-3,,,,,867.999973707E-6,4.40000010,
,,,868.199975230E-6,39.99999911E-3,,,,,868.199975230E-6,4.40000010,
,,,868.399976753E-6,39.99999911E-3,,,,,868.399976753E-6,4.40000010,
,,,868.599978276E-6,39.99999911E-3,,,,,868.599978276E-6,4.40000010,
,,,868.799979798E-6,39.99999911E-3,,,,,868.799979798E-6,4.40000010,
,,,868.999981321E-6,39.99999911E-3,,,,,868.999981321E-6,4.40000010,
,,,869.199982844E-6,39.99999911E-3,,,,,869.199982844E-6,4.36000013,
,,,869.399984367E-6,39.99999911E-3,,,,,869.399984367E-6,4.36000013,
,,,869.599927682E-6,39.99999911E-3,,,,,869.599927682E-6,4.40000010,
,,,869.799929205E-6,0.0,,,,,869.799929205E-6,4.36000013,
,,,869.999930728E-6,39.99999911E-3,,,,,869.999930728E-6,4.36000013,
,,,870.199932251E-6,39.99999911E-3,,,,,870.199932251E-6,4.36000013,
,,,870.399933774E-6,0.0,,,,,870.399933774E-6,4.40000010,
,,,870.599935297E-6,0.0,,,,,870.599935297E-6,4.36000013,
,,,870.799936820E-6,39.99999911E-3,,,,,870.799936820E-6,4.36000013,
,,,870.999938343E-6,39.99999911E-3,,,,,870.999938343E-6,4.36000013,
,,,871.199939866E-6,39.99999911E-3,,,,,871.199939866E-6,4.36000013,
,,,871.399941389E-6,39.99999911E-3,,,,,871.399941389E-6,4.36000013,
,,,871.599942911E-6,39.99999911E-3,,,,,871.599942911E-6,4.36000013,
,,,871.799944434E-6,39.99999911E-3,,,,,871.799944434E-6,4.36000013,
,,,871.999945957E-6,39.99999911E-3,,,,,871.999945957E-6,4.36000013,
,,,872.199947480E-6,39.99999911E-3,,,,,872.199947480E-6,4.36000013,
,,,872.399949003E-6,39.99999911E-3,,,,,872.399949003E-6,4.36000013,
,,,872.599950526E-6,39.99999911E-3,,,,,872.599950526E-6,4.36000013,
,,,872.799952049E-6,39.99999911E-3,,,,,872.799952049E-6,4.36000013,
,,,872.999953572E-6,39.99999911E-3,,,,,872.999953572E-6,4.36000013,
,,,873.199955095E-6,39.99999911E-3,,,,,873.199955095E-6,4.36000013,
,,,873.399956618E-6,39.99999911E-3,,,,,873.399956618E-6,4.36000013,
,,,873.599958140E-6,39.99999911E-3,,,,,873.599958140E-6,4.36000013,
,,,873.799959663E-6,39.99999911E-3,,,,,873.799959663E-6,4.36000013,
,,,873.999961186E-6,39.99999911E-3,,,,,873.999961186E-6,4.36000013,
,,,874.199962709E-6,39.99999911E-3,,,,,874.199962709E-6,4.36000013,
,,,874.399964232E-6,39.99999911E-3,,,,,874.399964232E-6,4.36000013,
,,,874.599965755E-6,39.99999911E-3,,,,,874.599965755E-6,4.36000013,
,,,874.799967278E-6,39.99999911E-3,,,,,874.799967278E-6,4.36000013,
,,,874.999968801E-6,39.99999911E-3,,,,,874.999968801E-6,4.36000013,
,,,875.199970324E-6,39.99999911E-3,,,,,875.199970324E-6,4.36000013,
,,,875.399971846E-6,39.99999911E-3,,,,,875.399971846E-6,4.36000013,
,,,875.599973369E-6,39.99999911E-3,,,,,875.599973369E-6,4.36000013,
,,,875.799974892E-6,39.99999911E-3,,,,,875.799974892E-6,4.36000013,
,,,875.999976415E-6,39.99999911E-3,,,,,875.999976415E-6,4.36000013,
,,,876.199977938E-6,39.99999911E-3,,,,,876.199977938E-6,4.36000013,
,,,876.399979461E-6,39.99999911E-3,,,,,876.399979461E-6,4.36000013,
,,,876.599980984E-6,39.99999911E-3,,,,,876.599980984E-6,4.36000013,
,,,876.799982507E-6,39.99999911E-3,,,,,876.799982507E-6,4.36000013,
,,,876.999984030E-6,39.99999911E-3,,,,,876.999984030E-6,4.36000013,
,,,877.199927345E-6,39.99999911E-3,,,,,877.199927345E-6,4.36000013,
,,,877.399928868E-6,39.99999911E-3,,,,,877.399928868E-6,4.36000013,
,,,877.599930391E-6,39.99999911E-3,,,,,877.599930391E-6,4.40000010,
,,,877.799931914E-6,39.99999911E-3,,,,,877.799931914E-6,4.36000013,
,,,877.999933437E-6,39.99999911E-3,,,,,877.999933437E-6,4.36000013,
,,,878.199934959E-6,39.99999911E-3,,,,,878.199934959E-6,4.36000013,
,,,878.399936482E-6,39.99999911E-3,,,,,878.399936482E-6,4.36000013,
,,,878.599938005E-6,39.99999911E-3,,,,,878.599938005E-6,4.36000013,
,,,878.799939528E-6,39.99999911E-3,,,,,878.799939528E-6,4.36000013,
,,,878.999941051E-6,39.99999911E-3,,,,,878.999941051E-6,4.36000013,
,,,879.199942574E-6,39.99999911E-3,,,,,879.199942574E-6,4.36000013,
,,,879.399944097E-6,39.99999911E-3,,,,,879.399944097E-6,4.36000013,
,,,879.599945620E-6,39.99999911E-3,,,,,879.599945620E-6,4.36000013,
,,,879.799947143E-6,39.99999911E-3,,,,,879.799947143E-6,4.36000013,
,,,879.999948665E-6,39.99999911E-3,,,,,879.999948665E-6,4.36000013,
,,,880.199950188E-6,39.99999911E-3,,,,,880.199950188E-6,4.36000013,
,,,880.399951711E-6,39.99999911E-3,,,,,880.399951711E-6,4.36000013,
,,,880.599953234E-6,39.99999911E-3,,,,,880.599953234E-6,4.36000013,
,,,880.799954757E-6,39.99999911E-3,,,,,880.799954757E-6,4.36000013,
,,,880.999956280E-6,39.99999911E-3,,,,,880.999956280E-6,4.36000013,
,,,881.199957803E-6,39.99999911E-3,,,,,881.199957803E-6,4.36000013,
,,,881.399959326E-6,39.99999911E-3,,,,,881.399959326E-6,4.36000013,
,,,881.599960849E-6,39.99999911E-3,,,,,881.599960849E-6,4.36000013,
,,,881.799962372E-6,39.99999911E-3,,,,,881.799962372E-6,4.36000013,
,,,881.999963894E-6,39.99999911E-3,,,,,881.999963894E-6,4.36000013,
,,,882.199965417E-6,39.99999911E-3,,,,,882.199965417E-6,4.36000013,
,,,882.399966940E-6,39.99999911E-3,,,,,882.399966940E-6,4.36000013,
,,,882.599968463E-6,39.99999911E-3,,,,,882.599968463E-6,4.36000013,
,,,882.799969986E-6,39.99999911E-3,,,,,882.799969986E-6,4.36000013,
,,,882.999971509E-6,39.99999911E-3,,,,,882.999971509E-6,4.36000013,
,,,883.199973032E-6,39.99999911E-3,,,,,883.199973032E-6,4.40000010,
,,,883.399974555E-6,39.99999911E-3,,,,,883.399974555E-6,4.40000010,
,,,883.599976078E-6,39.99999911E-3,,,,,883.599976078E-6,4.36000013,
,,,883.799977601E-6,39.99999911E-3,,,,,883.799977601E-6,4.40000010,
,,,883.999979123E-6,39.99999911E-3,,,,,883.999979123E-6,4.36000013,
