Record Length	2500	Points	0,000774	0		Record Length	2500	Points	0,000774	4,36	
Sample Interval	2e-007	s	0,0007742	0,04		Sample Interval	2e-007	s	0,0007742	4,36	
Trigger Point	-3869,999737	Samples	0,0007744	0,04		Trigger Point	-3869,999737	Samples	0,0007744	4,36	
			0,0007746	0,04					0,0007746	4,36	
			0,0007748	0,04					0,0007748	4,36	
			0,000775	0,04					0,000775	4,36	
Source	CH1		0,0007752	0,04		Source	CH2		0,0007752	4,36	
Vertical Units	Volts		0,0007754	0,04		Vertical Units	Volts		0,0007754	4,36	
Vertical Scale	1.000000		0,0007756	0,04		Vertical Scale	1.000000		0,0007756	4,36	
Vertical Offset	0		0,0007758	0,04		Vertical Offset	0		0,0007758	4,36	
Horizontal Units	s		0,000776	0,04		Horizontal Units	s		0,000776	4,36	
Horizontal Scale	50.00000058E-6		0,0007762	0,04		Horizontal Scale	50.00000058E-6		0,0007762	4,36	
Pt Fmt	Y		0,0007764	0,04		Pt Fmt	Y		0,0007764	4,36	
Yzero	-120.0000000E-3		0,0007766	0,04		Yzero	-1.2400000		0,0007766	4,36	
Probe Atten	1,000000		0,0007768	0		Probe Atten	1,000000		0,0007768	4,36	
			0,000777	0,04					0,000777	4,36	
Note	TDS 1001B - 17:38:46   8/4/2026		0,0007772	0,04		Note	TDS 1001B - 17:38:46   8/4/2026		0,0007772	4,36	
			0,0007774	0,04					0,0007774	4,36	
			0,0007776	0,04					0,0007776	4,36	
			0,0007778	0,04					0,0007778	4,36	
			0,000778	0,04					0,000778	4,36	
			0,0007782	0,04					0,0007782	4,36	
			0,0007784	0,04					0,0007784	4,36	
			0,0007786	0,04					0,0007786	4,36	
			0,0007788	0,04					0,0007788	4,36	
			0,000779	0,04					0,000779	4,36	
			0,0007792	0,04					0,0007792	4,36	
			0,0007794	0,04					0,0007794	4,36	
			0,0007796	0,04					0,0007796	4,36	
			0,0007798	0,04					0,0007798	4,36	
			0,00078	0,04					0,00078	4,36	
			0,0007802	0,04					0,0007802	4,36	
			0,0007804	0,04					0,0007804	4,36	
			0,0007806	0,04					0,0007806	4,36	
			0,0007808	0,04					0,0007808	4,36	
			0,000781	0,04					0,000781	4,36	
			0,0007812	0,04					0,0007812	4,36	
			0,0007814	0,04					0,0007814	4,36	
			0,0007816	0,04					0,0007816	4,36	
			0,0007818	0,04					0,0007818	4,36	
			0,000782	0,04					0,000782	4,36	
			0,0007822	0,04					0,0007822	4,36	
			0,0007824	0,04					0,0007824	4,36	
			0,0007826	0,04					0,0007826	4,36	
			0,0007828	0,04					0,0007828	4,36	
			0,000783	0,04					0,000783	4,36	
			0,0007832	0,04					0,0007832	4,36	
			0,0007834	0,04					0,0007834	4,36	
			0,0007836	0,04					0,0007836	4,36	
			0,0007838	0,04					0,0007838	4,36	
			0,000784	0,04					0,000784	4,36	
			0,0007842	0,04					0,0007842	4,36	
			0,0007844	0,04					0,0007844	4,36	
			0,0007846	0,04					0,0007846	4,36	
			0,0007848	0,04					0,0007848	4,36	
			0,000785	0,04					0,000785	4,36	
			0,0007852	0,04					0,0007852	4,36	
			0,0007854	0					0,0007854	4,36	
			0,0007856	0,04					0,0007856	4,36	
			0,0007858	0,04					0,0007858	4,36	
			0,000786	0,04					0,000786	4,36	
			0,0007862	0,04					0,0007862	4,36	
			0,0007864	0					0,0007864	4,36	
			0,0007866	0,04					0,0007866	4,36	
			0,0007868	0,04					0,0007868	4,36	
			0,000787	0					0,000787	4,36	
			0,0007872	0,04					0,0007872	4,36	
			0,0007874	0					0,0007874	4,36	
			0,0007876	0,04					0,0007876	4,36	
			0,0007878	0					0,0007878	4,36	
			0,000788	0,04					0,000788	4,36	
			0,0007882	0					0,0007882	4,36	
			0,0007884	0					0,0007884	4,36	
			0,0007886	0					0,0007886	4,36	
			0,0007888	0					0,0007888	4,36	
			0,000789	0					0,000789	4,36	
			0,0007892	0					0,0007892	4,4	
			0,0007894	0,04					0,0007894	4,36	
			0,0007896	0					0,0007896	4,4	
			0,0007898	0					0,0007898	4,36	
			0,00079	0					0,00079	4,36	
			0,0007902	0					0,0007902	4,36	
			0,0007904	0					0,0007904	4,36	
			0,0007906	0					0,0007906	4,36	
			0,0007908	0					0,0007908	4,36	
			0,000791	0					0,000791	4,36	
			0,0007912	0					0,0007912	4,36	
			0,0007914	0					0,0007914	4,36	
			0,0007916	0					0,0007916	4,4	
			0,0007918	0					0,0007918	4,36	
			0,000792	0					0,000792	4,36	
			0,0007922	0					0,0007922	4,4	
			0,0007924	0					0,0007924	4,36	
			0,0007926	0					0,0007926	4,36	
			0,0007928	0					0,0007928	4,36	
			0,000793	0					0,000793	4,36	
			0,0007932	0					0,0007932	4,36	
			0,0007934	0					0,0007934	4,36	
			0,0007936	0					0,0007936	4,36	
			0,0007938	0					0,0007938	4,36	
			0,000794	0					0,000794	4,36	
			0,0007942	0					0,0007942	4,36	
			0,0007944	0					0,0007944	4,36	
			0,0007946	0,04					0,0007946	4,36	
			0,0007948	0					0,0007948	4,36	
			0,000795	0,04					0,000795	4,36	
			0,0007952	0,04					0,0007952	4,36	
			0,0007954	0					0,0007954	4,36	
			0,0007956	0,04					0,0007956	4,36	
			0,0007958	0					0,0007958	4,36	
			0,000796	0,04					0,000796	4,36	
			0,0007962	0,04					0,0007962	4,36	
			0,0007964	0					0,0007964	4,36	
			0,0007966	0,04					0,0007966	4,36	
			0,0007968	0,04					0,0007968	4,36	
			0,000797	0					0,000797	4,36	
			0,0007972	0,04					0,0007972	4,36	
			0,0007974	0,04					0,0007974	4,36	
			0,0007976	0,04					0,0007976	4,36	
			0,0007978	0,04					0,0007978	4,36	
			0,000798	0,04					0,000798	4,36	
			0,0007982	0,04					0,0007982	4,4	
			0,0007984	0,04					0,0007984	4,36	
			0,0007986	0,04					0,0007986	4,36	
			0,0007988	0,04					0,0007988	4,36	
			0,000799	0,04					0,000799	4,36	
			0,0007992	0,04					0,0007992	4,36	
			0,0007994	0,04					0,0007994	4,36	
			0,0007996	0,04					0,0007996	4,36	
			0,0007998	0,04					0,0007998	4,36	
			0,0008	0,04					0,0008	4,36	
			0,0008002	0,04					0,0008002	4,36	
			0,0008004	0,04					0,0008004	4,36	
			0,0008006	0,04					0,0008006	4,36	
			0,0008008	0,04					0,0008008	4,36	
			0,000801	0,04					0,000801	4,36	
			0,0008012	0,04					0,0008012	4,36	
			0,0008014	0,04					0,0008014	4,36	
			0,0008016	0,04					0,0008016	4,4	
			0,0008018	0,04					0,0008018	4,36	
			0,000802	0,04					0,000802	4,4	
			0,0008022	0					0,0008022	4,36	
			0,0008024	0					0,0008024	4,4	
			0,0008026	0					0,0008026	4,36	
			0,0008028	0					0,0008028	4,4	
			0,000803	0					0,000803	4,36	
			0,0008032	0,04					0,0008032	4,4	
			0,0008034	0,04					0,0008034	4,36	
			0,0008036	0					0,0008036	4,36	
			0,0008038	0,04					0,0008038	4,36	
			0,000804	0,04					0,000804	4,36	
			0,0008042	0,04					0,0008042	4,36	
			0,0008044	0,04					0,0008044	4,4	
			0,0008046	0,04					0,0008046	4,4	
			0,0008048	0,04					0,0008048	4,4	
			0,000805	0,04					0,000805	4,4	
			0,0008052	0					0,0008052	4,4	
			0,0008054	0					0,0008054	4,4	
			0,0008056	0					0,0008056	4,4	
			0,0008058	0					0,0008058	4,4	
			0,000806	0					0,000806	4,4	
			0,0008062	0					0,0008062	4,4	
			0,0008064	0					0,0008064	4,4	
			0,0008066	0					0,0008066	4,36	
			0,0008068	0					0,0008068	4,36	
			0,000807	0					0,000807	4,36	
			0,0008072	0					0,0008072	4,4	
			0,0008074	0					0,0008074	4,4	
			0,0008076	0					0,0008076	4,4	
			0,0008078	0					0,0008078	4,4	
			0,000808	0					0,000808	4,36	
			0,0008082	0					0,0008082	4,36	
			0,0008084	0,04					0,0008084	4,4	
			0,0008086	0					0,0008086	4,4	
			0,0008088	0					0,0008088	4,4	
			0,000809	0					0,000809	4,4	
