0,13	0
0,168	0
0,279	0
0,402	0,05
0,43	0,15
0,451	0,26
0,46	0,34
0,477	0,56
0,485	0,67
0,496	0,86
0,505	1,09
0,512	1,27
0,515	1,38
0,548	2,93
0,557	3,53
0,57	4,79
0,578	5,66
0,58	5,85
0,558	3,68
0,559	3,69
0,561	3,87
0,562	3,97
0,58	6,91
0,589	7,26
0,59	7,43
0,592	7,72
0,593	7,91
0,596	8,46
0,598	8,74
0,6	9,12
0,601	9,36
0,602	9,6
0,605	10,16
0,607	10,77
0,61	11,42
0,613	12,21
0,616	12,83
0,621	14,41
0,625	15,65
0,636	19,61
0,657	31,11
0,67	41,18
0,686	58,88
0,71	99,4
0,719	125,8
0,726	146,38
0,727	151,94
0,729	161,87
0,732	173,37
0,733	183,2
