Record Length	2500	Points	-0,000125	0,5	
Sample Interval	1e-007	s	-0,0001249	0,5	
Trigger Point	1249,999899	Samples	-0,0001248	0,5	
			-0,0001247	0,48	
			-0,0001246	0,48	
			-0,0001245	0,48	
Source	CH2		-0,0001244	0,48	
Vertical Units	Volts		-0,0001243	0,48	
Vertical Scale	499.999988824E-3		-0,0001242	0,46	
Vertical Offset	0		-0,0001241	0,46	
Horizontal Units	s		-0,000124	0,46	
Horizontal Scale	25.00000029E-6		-0,0001239	0,46	
Pt Fmt	Y		-0,0001238	0,44	
Yzero	0.0		-0,0001237	0,44	
Probe Atten	1,000000		-0,0001236	0,44	
			-0,0001235	0,44	
Note	TDS 1001B - 16:57:25   22/04/2026		-0,0001234	0,42	
			-0,0001233	0,42	
			-0,0001232	0,42	
			-0,0001231	0,42	
			-0,000123	0,4	
			-0,0001229	0,4	
			-0,0001228	0,4	
			-0,0001227	0,4	
			-0,0001226	0,4	
			-0,0001225	0,38	
			-0,0001224	0,38	
			-0,0001223	0,38	
			-0,0001222	0,38	
			-0,0001221	0,36	
			-0,000122	0,36	
			-0,0001219	0,36	
			-0,0001218	0,36	
			-0,0001217	0,36	
			-0,0001216	0,34	
			-0,0001215	0,34	
			-0,0001214	0,34	
			-0,0001213	0,34	
			-0,0001212	0,32	
			-0,0001211	0,32	
			-0,000121	0,32	
			-0,0001209	0,32	
			-0,0001208	0,3	
			-0,0001207	0,3	
			-0,0001206	0,3	
			-0,0001205	0,3	
			-0,0001204	0,28	
			-0,0001203	0,28	
			-0,0001202	0,28	
			-0,0001201	0,28	
			-0,00012	0,26	
			-0,0001199	0,26	
			-0,0001198	0,26	
			-0,0001197	0,24	
			-0,0001196	0,24	
			-0,0001195	0,24	
			-0,0001194	0,24	
			-0,0001193	0,22	
			-0,0001192	0,22	
			-0,0001191	0,22	
			-0,000119	0,2	
			-0,0001189	0,2	
			-0,0001188	0,2	
			-0,0001187	0,2	
			-0,0001186	0,18	
			-0,0001185	0,18	
			-0,0001184	0,18	
			-0,0001183	0,18	
			-0,0001182	0,16	
			-0,0001181	0,16	
			-0,000118	0,16	
			-0,0001179	0,16	
			-0,0001178	0,14	
			-0,0001177	0,14	
			-0,0001176	0,14	
			-0,0001175	0,14	
			-0,0001174	0,12	
			-0,0001173	0,12	
			-0,0001172	0,12	
			-0,0001171	0,1	
			-0,000117	0,1	
			-0,0001169	0,1	
			-0,0001168	0,1	
			-0,0001167	0,08	
			-0,0001166	0,08	
			-0,0001165	0,08	
			-0,0001164	0,06	
			-0,0001163	0,06	
			-0,0001162	0,06	
			-0,0001161	0,06	
			-0,000116	0,04	
			-0,0001159	0,04	
			-0,0001158	0,04	
			-0,0001157	0,02	
			-0,0001156	0,02	
			-0,0001155	0,02	
			-0,0001154	0,02	
			-0,0001153	0	
			-0,0001152	0	
			-0,0001151	0	
			-0,000115	-0,02	
			-0,0001149	-0,02	
			-0,0001148	-0,02	
			-0,0001147	-0,02	
			-0,0001146	-0,04	
			-0,0001145	-0,04	
			-0,0001144	-0,04	
			-0,0001143	-0,06	
			-0,0001142	-0,06	
			-0,0001141	-0,06	
			-0,000114	-0,06	
			-0,0001139	-0,08	
			-0,0001138	-0,08	
			-0,0001137	-0,08	
			-0,0001136	-0,1	
			-0,0001135	-0,1	
			-0,0001134	-0,1	
			-0,0001133	-0,1	
			-0,0001132	-0,12	
			-0,0001131	-0,12	
			-0,000113	-0,12	
			-0,0001129	-0,14	
			-0,0001128	-0,14	
			-0,0001127	-0,14	
			-0,0001126	-0,14	
			-0,0001125	-0,16	
			-0,0001124	-0,16	
			-0,0001123	-0,16	
			-0,0001122	-0,16	
			-0,0001121	-0,18	
			-0,000112	-0,18	
			-0,0001119	-0,18	
			-0,0001118	-0,18	
			-0,0001117	-0,2	
			-0,0001116	-0,2	
			-0,0001115	-0,2	
			-0,0001114	-0,22	
			-0,0001113	-0,22	
			-0,0001112	-0,22	
			-0,0001111	-0,22	
			-0,000111	-0,24	
			-0,0001109	-0,24	
			-0,0001108	-0,24	
			-0,0001107	-0,24	
			-0,0001106	-0,26	
			-0,0001105	-0,26	
			-0,0001104	-0,26	
			-0,0001103	-0,26	
			-0,0001102	-0,28	
			-0,0001101	-0,28	
			-0,00011	-0,28	
			-0,0001099	-0,28	
			-0,0001098	-0,3	
			-0,0001097	-0,3	
			-0,0001096	-0,3	
			-0,0001095	-0,3	
			-0,0001094	-0,32	
			-0,0001093	-0,32	
			-0,0001092	-0,32	
			-0,0001091	-0,32	
			-0,000109	-0,34	
			-0,0001089	-0,34	
			-0,0001088	-0,34	
			-0,0001087	-0,34	
			-0,0001086	-0,36	
			-0,0001085	-0,36	
			-0,0001084	-0,36	
			-0,0001083	-0,36	
			-0,0001082	-0,38	
			-0,0001081	-0,38	
			-0,000108	-0,38	
			-0,0001079	-0,38	
			-0,0001078	-0,4	
			-0,0001077	-0,4	
			-0,0001076	-0,4	
			-0,0001075	-0,4	
			-0,0001074	-0,4	
			-0,0001073	-0,42	
			-0,0001072	-0,42	
			-0,0001071	-0,42	
			-0,000107	-0,42	
			-0,0001069	-0,44	
			-0,0001068	-0,44	
			-0,0001067	-0,44	
			-0,0001066	-0,44	
			-0,0001065	-0,44	
			-0,0001064	-0,46	
			-0,0001063	-0,46	
			-0,0001062	-0,46	
			-0,0001061	-0,46	
			-0,000106	-0,46	
			-0,0001059	-0,48	
			-0,0001058	-0,48	
			-0,0001057	-0,48	
			-0,0001056	-0,48	
			-0,0001055	-0,48	
			-0,0001054	-0,5	
			-0,0001053	-0,5	
			-0,0001052	-0,5	
			-0,0001051	-0,5	
			-0,000105	-0,5	
			-0,0001049	-0,52	
			-0,0001048	-0,52	
			-0,0001047	-0,52	
			-0,0001046	-0,52	
			-0,0001045	-0,52	
			-0,0001044	-0,52	
			-0,0001043	-0,54	
			-0,0001042	-0,54	
			-0,0001041	-0,54	
			-0,000104	-0,54	
			-0,0001039	-0,54	
			-0,0001038	-0,54	
			-0,0001037	-0,56	
			-0,0001036	-0,56	
			-0,0001035	-0,56	
			-0,0001034	-0,56	
			-0,0001033	-0,56	
			-0,0001032	-0,56	
			-0,0001031	-0,56	
			-0,000103	-0,58	
			-0,0001029	-0,58	
			-0,0001028	-0,58	
			-0,0001027	-0,58	
			-0,0001026	-0,58	
			-0,0001025	-0,58	
			-0,0001024	-0,58	
			-0,0001023	-0,6	
			-0,0001022	-0,6	
			-0,0001021	-0,6	
			-0,000102	-0,6	
			-0,0001019	-0,6	
			-0,0001018	-0,6	
			-0,0001017	-0,6	
			-0,0001016	-0,62	
			-0,0001015	-0,62	
			-0,0001014	-0,62	
			-0,0001013	-0,62	
			-0,0001012	-0,62	
			-0,0001011	-0,62	
			-0,000101	-0,62	
			-0,0001009	-0,62	
			-0,0001008	-0,62	
			-0,0001007	-0,62	
			-0,0001006	-0,64	
			-0,0001005	-0,64	
			-0,0001004	-0,64	
			-0,0001003	-0,64	
			-0,0001002	-0,64	
			-0,0001001	-0,64	
			-0,0001	-0,64	
			-9,99e-005	-0,64	
			-9,98e-005	-0,64	
			-9,97e-005	-0,64	
			-9,96e-005	-0,64	
			-9,95e-005	-0,66	
